n, trils, MTF, BST, AVL
1000, 0, 4, 5, 3
1000, avg, 0, 0, 0

1000, ,1, 1, 1
2000, 0, 2, 4, 4
2000, avg, 0, 1, 0

2000, ,1, 1, 1
4000, 0, 4, 4, 8
4000, avg, 1, 1, 1

4000, ,1, 2, 1
8000, 0, 8, 9, 16
8000, avg, 2, 2, 3

8000, ,2, 2, 3
16000, 0, 14, 10, 21
16000, avg, 3, 3, 5

16000, ,6, 5, 5
32000, 0, 18, 30, 32
32000, avg, 6, 7, 9

32000, ,9, 5, 4
64000, 0, 47, 62, 68
64000, avg, 11, 14, 16

64000, ,14, 9, 11
128000, 0, 99, 94, 99
128000, avg, 23, 24, 27

128000, ,33, 58, 23
256000, 0, 232, 227, 230
256000, avg, 49, 52, 53

256000, ,74, 39, 41
512000, 0, 397, 443, 464
512000, avg, 96, 101, 103

512000, ,145, 72, 78
1024000, 0, 749, 1105, 1094
1024000, avg, 186, 218, 220

1024000, ,354, 170, 171
